time,epoch,batch,loss,cost
0min1sec,0,20,0.740,6.103
0min1sec,0,30,0.499,5.720
0min1sec,0,40,0.399,5.558
0min1sec,0,50,0.343,5.331
0min1sec,0,60,0.311,5.227
0min1sec,0,70,0.288,5.229
0min1sec,0,80,0.266,5.230
0min1sec,0,90,0.247,5.144
0min1sec,1,0,0.217,3.941
0min1sec,1,10,0.187,4.531
0min1sec,1,20,0.190,4.467
0min1sec,1,30,0.170,4.532
0min1sec,1,40,0.157,4.562
0min1sec,1,50,0.150,4.557
0min1sec,1,60,0.140,4.543
0min1sec,1,70,0.135,4.556
0min1sec,1,80,0.128,4.565
0min1sec,1,90,0.123,4.586
0min1sec,2,0,0.131,3.880
0min1sec,2,10,0.116,4.774
0min1sec,2,20,0.114,4.783
0min1sec,2,30,0.109,4.766
0min1sec,2,40,0.110,4.733
0min1sec,2,50,0.107,4.794
0min1sec,2,60,0.104,4.748
0min1sec,2,70,0.102,4.692
0min1sec,2,80,0.099,4.651
0min1sec,2,90,0.099,4.596
0min1sec,3,0,0.094,3.278
0min1sec,3,10,0.113,4.344
0min1sec,3,20,0.116,4.565
0min1sec,3,30,0.107,4.618
0min1sec,3,40,0.107,4.638
0min1sec,3,50,0.106,4.661
0min1sec,3,60,0.106,4.593
0min1sec,3,70,0.105,4.545
0min1sec,3,80,0.105,4.557
0min1sec,3,90,0.103,4.545
0min1sec,4,0,0.192,4.790
0min1sec,4,10,0.129,4.696
0min1sec,4,20,0.118,4.689
0min1sec,4,30,0.113,4.692
0min1sec,4,40,0.109,4.613
0min1sec,4,50,0.111,4.594
0min1sec,4,60,0.108,4.551
0min1sec,4,70,0.106,4.486
0min1sec,4,80,0.103,4.459
0min1sec,4,90,0.101,4.444
0min1sec,5,0,0.094,4.458
0min1sec,5,10,0.123,4.627
0min1sec,5,20,0.121,4.478
0min1sec,5,30,0.116,4.445
0min1sec,5,40,0.110,4.497
0min1sec,5,50,0.111,4.508
0min1sec,5,60,0.111,4.464
0min1sec,5,70,0.109,4.429
0min1sec,5,80,0.108,4.420
0min1sec,5,90,0.107,4.397
0min1sec,6,0,0.109,3.942
0min1sec,6,10,0.121,4.059
0min1sec,6,20,0.115,4.203
0min1sec,6,30,0.104,4.325
0min1sec,6,40,0.106,4.333
0min1sec,6,50,0.105,4.330
0min1sec,6,60,0.104,4.357
0min1sec,6,70,0.102,4.340
0min1sec,6,80,0.100,4.363
0min1sec,6,90,0.099,4.378
0min1sec,7,0,0.110,3.782
0min1sec,7,10,0.135,4.064
0min1sec,7,20,0.122,4.213
0min1sec,7,30,0.120,4.164
